strategy,dataset,patience,size_scale,threshold,accuracy,f1_macro,n_trees
s7_perclient_f1_pcd,Sonar,5,5,0.001,0.7380952380952381,0.7287238139685753,21
s7_perclient_f1_pcd,Sonar,5,5,0.002,0.7380952380952381,0.7287238139685753,21
s7_perclient_f1_pcd,Sonar,5,5,0.005,0.7380952380952381,0.7287238139685753,21
s7_perclient_f1_pcd,Sonar,5,10,0.001,0.7698412698412698,0.7646322165229728,45
s7_perclient_f1_pcd,Sonar,5,10,0.002,0.7698412698412698,0.7646322165229728,45
s7_perclient_f1_pcd,Sonar,5,10,0.005,0.7698412698412698,0.7646322165229728,45
s7_perclient_f1_pcd,Sonar,5,15,0.001,0.7857142857142857,0.7822803062924644,45
s7_perclient_f1_pcd,Sonar,5,15,0.002,0.7857142857142857,0.7822803062924644,45
s7_perclient_f1_pcd,Sonar,5,15,0.005,0.7857142857142857,0.7822803062924644,45
pw,Sonar,3,5,0.001,0.7857142857142857,0.7795918367346939,9
pw,Sonar,3,5,0.002,0.7857142857142857,0.7795918367346939,9
pw,Sonar,3,5,0.005,0.7857142857142857,0.7795918367346939,9
pw,Sonar,3,10,0.001,0.7142857142857143,0.6971153846153846,27
pw,Sonar,3,10,0.002,0.7142857142857143,0.6971153846153846,27
pw,Sonar,3,10,0.005,0.7142857142857143,0.6971153846153846,27
pw,Sonar,3,15,0.001,0.7619047619047619,0.7475961538461539,45
pw,Sonar,3,15,0.002,0.7619047619047619,0.7475961538461539,45
pw,Sonar,3,15,0.005,0.7619047619047619,0.7475961538461539,45
pw,Sonar,4,5,0.001,0.7857142857142857,0.7795918367346939,9
pw,Sonar,4,5,0.002,0.7857142857142857,0.7795918367346939,9
pw,Sonar,4,5,0.005,0.7857142857142857,0.7795918367346939,9
pw,Sonar,4,10,0.001,0.7142857142857143,0.6971153846153846,27
pw,Sonar,4,10,0.002,0.7142857142857143,0.6971153846153846,27
pw,Sonar,4,10,0.005,0.7142857142857143,0.6971153846153846,27
pw,Sonar,4,15,0.001,0.7619047619047619,0.7475961538461539,45
pw,Sonar,4,15,0.002,0.7619047619047619,0.7475961538461539,45
pw,Sonar,4,15,0.005,0.7619047619047619,0.7475961538461539,45
pw,Sonar,5,5,0.001,0.7857142857142857,0.7795918367346939,9
pw,Sonar,5,5,0.002,0.7857142857142857,0.7795918367346939,9
pw,Sonar,5,5,0.005,0.7857142857142857,0.7795918367346939,9
pw,Sonar,5,10,0.001,0.7142857142857143,0.6971153846153846,27
pw,Sonar,5,10,0.002,0.7142857142857143,0.6971153846153846,27
pw,Sonar,5,10,0.005,0.7142857142857143,0.6971153846153846,27
pw,Sonar,5,15,0.001,0.7619047619047619,0.7475961538461539,45
