strategy,dataset,config,accuracy,f1_macro,n_trees
s6_perclient_f1,Spambase,Var D (Patience=4),0.913861744480637,0.909369513399647,9
s7_perclient_f1_pcd,Spambase,Baseline,0.9229098805646037,0.918792219478782,27
s7_perclient_f1_pcd,Spambase,Var A (Thresh=0.0),0.9229098805646037,0.9188216993566969,42
s7_perclient_f1_pcd,Spambase,Var B (Episode=10),0.9229098805646037,0.918792219478782,27
s7_perclient_f1_pcd,Spambase,Var C (Episode=15),0.9229098805646037,0.918792219478782,27
s7_perclient_f1_pcd,Spambase,Var D (Patience=4),0.9229098805646037,0.918792219478782,27
pw,Spambase,Baseline,0.9185667752442996,0.9144515299645669,9
pw,Spambase,Var A (Thresh=0.0),0.9185667752442996,0.9144515299645669,9
pw,Spambase,Var D (Patience=4),0.9185667752442996,0.9144515299645669,9
s2_global_accuracy,Letter,Baseline,0.6913333333333332,0.6919314009407409,40
s2_global_accuracy,Letter,Var A (Thresh=0.0),0.6913333333333332,0.6919314009407409,40
s2_global_accuracy,Letter,Var B (Episode=10),0.6913333333333332,0.6919314009407409,40
s2_global_accuracy,Letter,Var C (Episode=15),0.6918333333333333,0.6924716924498772,45
s2_global_accuracy,Letter,Var D (Patience=4),0.6913333333333332,0.6919314009407409,40
s3_global_f1,Letter,Baseline,0.6894166666666667,0.6900454444773194,40
s3_global_f1,Letter,Var A (Thresh=0.0),0.6894166666666667,0.6900454444773194,40
s3_global_f1,Letter,Var B (Episode=10),0.6894166666666667,0.6900454444773194,40
s3_global_f1,Letter,Var C (Episode=15),0.6959166666666666,0.6964712494677702,45
s3_global_f1,Letter,Var D (Patience=4),0.6894166666666667,0.6900454444773194,40
s4_global_f1_pcd,Letter,Baseline,0.6790833333333334,0.6806206551488878,30
s4_global_f1_pcd,Letter,Var A (Thresh=0.0),0.6871666666666667,0.6878999474670687,40
s4_global_f1_pcd,Letter,Var B (Episode=10),0.6856666666666666,0.6863407414807755,40
