strategy,dataset,patience,size_scale,threshold,accuracy,f1_macro,n_trees
pw,Sonar,4,10,0.002,0.0,0.0,0
pw,Sonar,4,10,0.005,0.0,0.0,0
pw,Sonar,4,15,0.001,0.0,0.0,0
pw,Sonar,4,15,0.002,0.0,0.0,0
pw,Sonar,4,15,0.005,0.0,0.0,0
pw,Sonar,5,5,0.001,0.0,0.0,0
pw,Sonar,5,5,0.002,0.0,0.0,0
pw,Sonar,5,5,0.005,0.0,0.0,0
pw,Sonar,5,10,0.001,0.0,0.0,0
pw,Sonar,5,10,0.002,0.0,0.0,0
pw,Sonar,5,10,0.005,0.0,0.0,0
pw,Sonar,5,15,0.001,0.0,0.0,0
pw,Sonar,5,15,0.002,0.0,0.0,0
pw,Sonar,5,15,0.005,0.0,0.0,0
s4_global_f1_pcd,Vowel,3,5,0.001,0.6363636363636364,0.63455812757172,30
s4_global_f1_pcd,Vowel,3,5,0.002,0.6363636363636364,0.63455812757172,30
s4_global_f1_pcd,Vowel,3,5,0.005,0.6363636363636364,0.63455812757172,30
s4_global_f1_pcd,Vowel,3,10,0.001,0.6481481481481481,0.6485819511732022,40
s4_global_f1_pcd,Vowel,3,10,0.002,0.6481481481481481,0.6485819511732022,40
s4_global_f1_pcd,Vowel,3,10,0.005,0.6481481481481481,0.6485819511732022,40
s4_global_f1_pcd,Vowel,3,15,0.001,0.6582491582491583,0.6598704446635092,45
s4_global_f1_pcd,Vowel,3,15,0.002,0.6582491582491583,0.6598704446635092,45
s4_global_f1_pcd,Vowel,3,15,0.005,0.6582491582491583,0.6598704446635092,45
s4_global_f1_pcd,Vowel,4,5,0.001,0.6363636363636364,0.63455812757172,30
s4_global_f1_pcd,Vowel,4,5,0.002,0.6363636363636364,0.63455812757172,30
s4_global_f1_pcd,Vowel,4,5,0.005,0.6363636363636364,0.63455812757172,30
s4_global_f1_pcd,Vowel,4,10,0.001,0.6481481481481481,0.6485819511732022,40
s4_global_f1_pcd,Vowel,4,10,0.002,0.6481481481481481,0.6485819511732022,40
s4_global_f1_pcd,Vowel,4,10,0.005,0.6481481481481481,0.6485819511732022,40
s4_global_f1_pcd,Vowel,4,15,0.001,0.6582491582491583,0.6598704446635092,45
s4_global_f1_pcd,Vowel,4,15,0.002,0.6582491582491583,0.6598704446635092,45
s4_global_f1_pcd,Vowel,4,15,0.005,0.6582491582491583,0.6598704446635092,45
s4_global_f1_pcd,Vowel,5,5,0.001,0.6363636363636364,0.63455812757172,30
s4_global_f1_pcd,Vowel,5,5,0.002,0.6363636363636364,0.63455812757172,30
s4_global_f1_pcd,Vowel,5,5,0.005,0.6363636363636364,0.63455812757172,30
s4_global_f1_pcd,Vowel,5,10,0.001,0.6481481481481481,0.6485819511732022,40
s4_global_f1_pcd,Vowel,5,10,0.002,0.6481481481481481,0.6485819511732022,40
s4_global_f1_pcd,Vowel,5,10,0.005,0.6481481481481481,0.6485819511732022,40
s4_global_f1_pcd,Vowel,5,15,0.001,0.6582491582491583,0.6598704446635092,45
s4_global_f1_pcd,Vowel,5,15,0.002,0.6582491582491583,0.6598704446635092,45
s4_global_f1_pcd,Vowel,5,15,0.005,0.6582491582491583,0.6598704446635092,45
s7_perclient_f1_pcd,Vowel,3,5,0.001,0.664983164983165,0.6652417857096095,42
s7_perclient_f1_pcd,Vowel,3,5,0.002,0.664983164983165,0.6652417857096095,42
s7_perclient_f1_pcd,Vowel,3,5,0.005,0.664983164983165,0.6652417857096095,42
s7_perclient_f1_pcd,Vowel,3,10,0.001,0.664983164983165,0.6652417857096095,42
s7_perclient_f1_pcd,Vowel,3,10,0.002,0.664983164983165,0.6652417857096095,42
s7_perclient_f1_pcd,Vowel,3,10,0.005,0.664983164983165,0.6652417857096095,42
s7_perclient_f1_pcd,Vowel,3,15,0.001,0.664983164983165,0.6652417857096095,42
s7_perclient_f1_pcd,Vowel,3,15,0.002,0.664983164983165,0.6652417857096095,42
s7_perclient_f1_pcd,Vowel,3,15,0.005,0.664983164983165,0.6652417857096095,42
s7_perclient_f1_pcd,Vowel,4,5,0.001,0.664983164983165,0.6652417857096095,42
s7_perclient_f1_pcd,Vowel,4,5,0.002,0.664983164983165,0.6652417857096095,42
s7_perclient_f1_pcd,Vowel,4,5,0.005,0.664983164983165,0.6652417857096095,42
s7_perclient_f1_pcd,Vowel,4,10,0.001,0.664983164983165,0.6652417857096095,42
s7_perclient_f1_pcd,Vowel,4,10,0.002,0.664983164983165,0.6652417857096095,42
s7_perclient_f1_pcd,Vowel,4,10,0.005,0.664983164983165,0.6652417857096095,42
s7_perclient_f1_pcd,Vowel,4,15,0.001,0.664983164983165,0.6652417857096095,42
s7_perclient_f1_pcd,Vowel,4,15,0.002,0.664983164983165,0.6652417857096095,42
s7_perclient_f1_pcd,Vowel,4,15,0.005,0.664983164983165,0.6652417857096095,42
s7_perclient_f1_pcd,Vowel,5,5,0.001,0.664983164983165,0.6652417857096095,42
s7_perclient_f1_pcd,Vowel,5,5,0.002,0.664983164983165,0.6652417857096095,42
s7_perclient_f1_pcd,Vowel,5,5,0.005,0.664983164983165,0.6652417857096095,42
s7_perclient_f1_pcd,Vowel,5,10,0.001,0.664983164983165,0.6652417857096095,42
s7_perclient_f1_pcd,Vowel,5,10,0.002,0.664983164983165,0.6652417857096095,42
s7_perclient_f1_pcd,Vowel,5,10,0.005,0.664983164983165,0.6652417857096095,42
s7_perclient_f1_pcd,Vowel,5,15,0.001,0.664983164983165,0.6652417857096095,42
s7_perclient_f1_pcd,Vowel,5,15,0.002,0.664983164983165,0.6652417857096095,42
s7_perclient_f1_pcd,Vowel,5,15,0.005,0.664983164983165,0.6652417857096095,42
pw,Vowel,3,5,0.001,0.0,0.0,0
pw,Vowel,3,5,0.002,0.0,0.0,0
pw,Vowel,3,5,0.005,0.0,0.0,0
pw,Vowel,3,10,0.001,0.0,0.0,0
pw,Vowel,3,10,0.002,0.0,0.0,0
